DATE,VALUE
2022-03-28,-0.58
2022-03-29,-0.579
2022-03-30,-0.579
2022-03-31,-0.593
2022-04-01,-0.5820000000000001
2022-04-04,-0.585
2022-04-05,-0.586
2022-04-06,-0.584
2022-04-07,-0.5820000000000001
2022-04-08,-0.583
2022-04-11,-0.584
2022-04-12,-0.583
2022-04-13,-0.585
2022-04-14,-0.586
2022-04-19,-0.58
2022-04-20,-0.583
2022-04-21,-0.585
2022-04-22,-0.583
2022-04-25,-0.585
2022-04-26,-0.5820000000000001
2022-04-27,-0.583
2022-04-28,-0.583
2022-04-29,-0.586
2022-05-02,-0.583
2022-05-03,-0.579
2022-05-04,-0.585
2022-05-05,-0.585
2022-05-06,-0.585
2022-05-09,-0.586
2022-05-10,-0.584
2022-05-11,-0.584
2022-05-12,-0.5770000000000001
2022-05-13,-0.586
2022-05-16,-0.585
2022-05-17,-0.585
2022-05-18,-0.585
2022-05-19,-0.585
2022-05-20,-0.585
2022-05-23,-0.586
2022-05-24,-0.5870000000000001
2022-05-25,-0.5870000000000001
2022-05-26,-0.59
2022-05-27,-0.585
2022-05-30,-0.586
2022-05-31,-0.589
2022-06-01,-0.5820000000000001
2022-06-02,-0.585
2022-06-03,-0.5870000000000001
2022-06-06,-0.59
2022-06-07,-0.583
2022-06-08,-0.5820000000000001
2022-06-09,-0.5820000000000001
2022-06-10,-0.581
2022-06-13,-0.58
2022-06-14,-0.578
2022-06-15,-0.58
2022-06-16,-0.5820000000000001
2022-06-17,-0.5820000000000001
2022-06-20,-0.581
2022-06-21,-0.5820000000000001
2022-06-22,-0.579
2022-06-23,-0.578
2022-06-24,-0.58
2022-06-27,-0.579
2022-06-28,-0.581
2022-06-29,-0.578
2022-06-30,-0.591
2022-07-01,-0.58
2022-07-04,-0.58
2022-07-05,-0.58
2022-07-06,-0.58
2022-07-07,-0.579
2022-07-08,-0.579
2022-07-11,-0.58
2022-07-12,-0.58
2022-07-13,-0.581
2022-07-14,-0.5820000000000001
2022-07-15,-0.5820000000000001
2022-07-18,-0.5820000000000001
2022-07-19,-0.583
2022-07-20,-0.5820000000000001
2022-07-21,-0.584
2022-07-22,-0.5820000000000001
2022-07-25,-0.583
2022-07-26,-0.581
2022-07-27,-0.085
2022-07-28,-0.087
2022-07-29,-0.091
2022-08-01,-0.088
2022-08-02,-0.087
2022-08-03,-0.087
2022-08-04,-0.084
2022-08-05,-0.085
2022-08-08,-0.085
2022-08-09,-0.085
2022-08-10,-0.086
2022-08-11,-0.085
2022-08-12,-0.088
2022-08-15,-0.088
2022-08-16,-0.087
2022-08-17,-0.087
2022-08-18,-0.084
2022-08-19,-0.084
2022-08-22,-0.0819999999999999
2022-08-23,-0.08
2022-08-24,-0.0819999999999999
2022-08-25,-0.08
2022-08-26,-0.08
2022-08-29,-0.081
2022-08-30,-0.084
2022-08-31,-0.091
2022-09-01,-0.084
2022-09-02,-0.083
2022-09-05,-0.087
2022-09-06,-0.085
2022-09-07,-0.076
2022-09-08,-0.086
2022-09-09,-0.085
2022-09-12,-0.086
2022-09-13,-0.083
2022-09-14,0.662
2022-09-15,0.66
2022-09-16,0.66
2022-09-19,0.657
2022-09-20,0.659
2022-09-21,0.6609999999999999
2022-09-22,0.6609999999999999
2022-09-23,0.662
2022-09-26,0.6629999999999999
2022-09-27,0.662
2022-09-28,0.662
2022-09-29,0.6609999999999999
2022-09-30,0.642
2022-10-03,0.6559999999999999
2022-10-04,0.657
2022-10-05,0.652
2022-10-06,0.655
2022-10-07,0.6559999999999999
2022-10-10,0.655
2022-10-11,0.657
2022-10-12,0.6579999999999999
2022-10-13,0.6579999999999999
2022-10-14,0.657
2022-10-17,0.6579999999999999
2022-10-18,0.657
2022-10-19,0.6559999999999999
2022-10-20,0.6559999999999999
2022-10-21,0.657
2022-10-24,0.6579999999999999
2022-10-25,0.6559999999999999
2022-10-26,0.6559999999999999
2022-10-27,0.657
2022-10-28,0.6559999999999999
2022-10-31,0.648
2022-11-01,0.659
2022-11-02,1.403
2022-11-03,1.403
2022-11-04,1.401
2022-11-07,1.4
2022-11-08,1.4
2022-11-09,1.4
2022-11-10,1.402
2022-11-11,1.404
2022-11-14,1.401
2022-11-15,1.4
2022-11-16,1.401
2022-11-17,1.402
2022-11-18,1.403
2022-11-21,1.403
2022-11-22,1.404
2022-11-23,1.405
2022-11-24,1.405
2022-11-25,1.403
2022-11-28,1.403
2022-11-29,1.402
2022-11-30,1.391
2022-12-01,1.4
2022-12-02,1.4
2022-12-05,1.398
2022-12-06,1.406
2022-12-07,1.399
2022-12-08,1.4
2022-12-09,1.4
2022-12-12,1.4
2022-12-13,1.4
2022-12-14,1.402
2022-12-15,1.403
2022-12-16,1.402
2022-12-19,1.403
2022-12-20,1.403
2022-12-21,1.902
2022-12-22,1.904
2022-12-23,1.907
2022-12-27,1.906
2022-12-28,1.906
2022-12-29,1.905
2022-12-30,1.89
2023-01-02,1.906
2023-01-03,1.904
2023-01-04,1.904
2023-01-05,1.9
2023-01-06,1.898
2023-01-09,1.9
2023-01-10,1.9
2023-01-11,1.9
2023-01-12,1.9
2023-01-13,1.901
2023-01-16,1.902
2023-01-17,1.901
2023-01-18,1.902
2023-01-19,1.903
2023-01-20,1.903
2023-01-23,1.902
2023-01-24,1.904
2023-01-25,1.904
2023-01-26,1.904
2023-01-27,1.906
2023-01-30,1.904
2023-01-31,1.894
2023-02-01,1.901
2023-02-02,1.902
2023-02-03,1.898
2023-02-06,1.901
2023-02-07,1.902
2023-02-08,2.401
2023-02-09,2.401
2023-02-10,2.401
2023-02-13,2.4
2023-02-14,2.4
2023-02-15,2.405
2023-02-16,2.4
2023-02-17,2.398
2023-02-20,2.4
2023-02-21,2.398
2023-02-22,2.399
2023-02-23,2.399
2023-02-24,2.398
2023-02-27,2.398
2023-02-28,2.388
2023-03-01,2.398
2023-03-02,2.399
2023-03-03,2.4
2023-03-06,2.399
2023-03-07,2.398
2023-03-08,2.399
2023-03-09,2.401
2023-03-10,2.403
2023-03-13,2.401
2023-03-14,2.401
2023-03-15,2.4
2023-03-16,2.399
2023-03-17,2.402
2023-03-20,2.398
2023-03-21,2.399
2023-03-22,2.898
2023-03-23,2.899
2023-03-24,2.899
2023-03-27,2.898
2023-03-28,2.894
2023-03-29,2.894
2023-03-30,2.8960000000000004
2023-03-31,2.884
2023-04-03,2.898
2023-04-04,2.898
2023-04-05,2.902
2023-04-06,2.903
2023-04-11,2.897
2023-04-12,2.898
2023-04-13,2.899
2023-04-14,2.8960000000000004
2023-04-17,2.897
2023-04-18,2.901
2023-04-19,2.902
2023-04-20,2.904
2023-04-21,2.902
2023-04-24,2.905
2023-04-25,2.901
2023-04-26,2.9
2023-04-27,2.9
2023-04-28,2.894
2023-05-02,2.8960000000000004
2023-05-03,2.8960000000000004
2023-05-04,2.897
2023-05-05,2.898
2023-05-08,2.892
2023-05-09,2.894
2023-05-10,3.145
2023-05-11,3.145
2023-05-12,3.148
2023-05-15,3.145
2023-05-16,3.147
2023-05-17,3.151
2023-05-18,3.153
2023-05-19,3.151
2023-05-22,3.15
2023-05-23,3.157
2023-05-24,3.148
2023-05-25,3.148
2023-05-26,3.152
2023-05-29,3.147
2023-05-30,3.148
2023-05-31,3.144
2023-06-01,3.147
2023-06-02,3.148
2023-06-05,3.148
2023-06-06,3.145
2023-06-07,3.144
2023-06-08,3.1460000000000004
2023-06-09,3.147
2023-06-12,3.147
2023-06-13,3.147
2023-06-14,3.15
2023-06-15,3.147
2023-06-16,3.144
2023-06-19,3.144
2023-06-20,3.144
2023-06-21,3.395
2023-06-22,3.397
2023-06-23,3.4
2023-06-26,3.4
2023-06-27,3.397
2023-06-28,3.4
2023-06-29,3.4
2023-06-30,3.4
2023-07-03,3.399
2023-07-04,3.401
2023-07-05,3.404
2023-07-06,3.406
2023-07-07,3.406
2023-07-10,3.402
2023-07-11,3.404
2023-07-12,3.404
2023-07-13,3.401
2023-07-14,3.402
2023-07-17,3.4
2023-07-18,3.399
2023-07-19,3.4
2023-07-20,3.403
